Date, Stock, Action, Quantity, Price
2020-04-27 00:00:00+00:00, A, BUY, 286348, 76.25
2020-06-08 00:00:00+00:00, AAL, BUY, 1075039, 20.31
2020-07-20 00:00:00+00:00, AAL, SELL, 1075039, 11.47
2020-08-27 00:00:00+00:00, AAL, BUY, 928517, 13.28
2020-10-06 00:00:00+00:00, AAL, SELL, 928517, 12.53
2020-11-27 00:00:00+00:00, AAL, BUY, 776657, 14.98
2020-05-01 00:00:00+00:00, AAP, BUY, 187272, 116.59
2020-09-29 00:00:00+00:00, AAP, SELL, 187272, 151.71
2020-10-23 00:00:00+00:00, AAP, BUY, 183628, 154.72
2020-10-30 00:00:00+00:00, AAP, SELL, 183628, 147.28
2020-12-18 00:00:00+00:00, AAP, BUY, 169040, 159.99
2020-04-30 00:00:00+00:00, AAPL, BUY, 297264, 73.45
2020-10-02 00:00:00+00:00, AAPL, SELL, 297264, 113.02
2020-11-05 00:00:00+00:00, AAPL, BUY, 282254, 119.03
2020-03-13 00:00:00+00:00, ABBV, BUY, 255757, 85.37
2020-03-16 00:00:00+00:00, ABBV, SELL, 255757, 74.27
2020-05-01 00:00:00+00:00, ABBV, BUY, 229299, 82.84
2020-08-12 00:00:00+00:00, ABBV, SELL, 229299, 95.51
2020-11-13 00:00:00+00:00, ABBV, BUY, 221126, 99.04
2020-04-21 00:00:00+00:00, ABT, BUY, 232153, 94.05
2020-06-12 00:00:00+00:00, ABT, SELL, 232153, 89.02
2020-07-15 00:00:00+00:00, ABT, BUY, 213649, 96.73
2020-12-11 00:00:00+00:00, ABT, SELL, 213649, 107.02
2020-05-01 00:00:00+00:00, ACN, BUY, 121239, 180.09
2020-10-01 00:00:00+00:00, ACN, SELL, 121239, 225.18
2020-11-16 00:00:00+00:00, ACN, BUY, 111454, 244.95
2020-04-30 00:00:00+00:00, ADBE, BUY, 61740, 353.64
2020-10-30 00:00:00+00:00, ADBE, SELL, 61740, 447.10
2020-12-18 00:00:00+00:00, ADBE, BUY, 54884, 502.95
2020-04-30 00:00:00+00:00, ADI, BUY, 199215, 109.60
2020-07-29 00:00:00+00:00, ADI, SELL, 199215, 117.53
2020-09-03 00:00:00+00:00, ADI, BUY, 199913, 117.12
2020-09-10 00:00:00+00:00, ADI, SELL, 199913, 114.27
2020-09-16 00:00:00+00:00, ADI, BUY, 197681, 115.56
2020-09-23 00:00:00+00:00, ADI, SELL, 197681, 112.50
2020-10-14 00:00:00+00:00, ADI, BUY, 180747, 123.04
2020-04-30 00:00:00+00:00, ADM, BUY, 587885, 37.14
2020-12-29 00:00:00+00:00, ADM, SELL, 587885, 49.45
2020-12-31 00:00:00+00:00, ADM, BUY, 576689, 50.41
2020-05-05 00:00:00+00:00, ADP, BUY, 149732, 145.82
2020-07-29 00:00:00+00:00, ADP, SELL, 149732, 137.12
2020-10-12 00:00:00+00:00, ADP, BUY, 136348, 150.58
2020-04-30 00:00:00+00:00, ADSK, BUY, 116678, 187.13
2020-09-22 00:00:00+00:00, ADSK, SELL, 116678, 229.56
2020-10-21 00:00:00+00:00, ADSK, BUY, 105447, 254.01
2020-03-13 00:00:00+00:00, AEE, BUY, 286724, 76.15
2020-03-18 00:00:00+00:00, AEE, SELL, 286724, 76.15
2020-06-17 00:00:00+00:00, AEE, BUY, 301325, 72.46
2020-07-06 00:00:00+00:00, AEE, SELL, 301325, 73.34
2020-07-14 00:00:00+00:00, AEE, BUY, 288614, 76.57
2020-09-16 00:00:00+00:00, AEE, SELL, 288614, 77.94
2020-10-16 00:00:00+00:00, AEE, BUY, 273026, 82.39
2020-12-02 00:00:00+00:00, AEE, SELL, 273026, 78.49
2020-06-09 00:00:00+00:00, AEP, BUY, 254150, 85.91
2020-07-07 00:00:00+00:00, AEP, SELL, 254150, 82.39
2020-07-15 00:00:00+00:00, AEP, BUY, 247277, 84.68
2020-08-26 00:00:00+00:00, AEP, SELL, 247277, 78.61
2020-10-08 00:00:00+00:00, AEP, BUY, 217481, 89.38
2020-12-01 00:00:00+00:00, AEP, SELL, 217481, 85.21
2020-05-21 00:00:00+00:00, AES, BUY, 1773684, 12.31
2020-05-22 00:00:00+00:00, AES, SELL, 1773684, 12.24
2020-06-12 00:00:00+00:00, AES, BUY, 1713488, 12.67
2020-05-04 00:00:00+00:00, AFL, BUY, 610742, 35.75
2020-06-02 00:00:00+00:00, AFL, SELL, 610742, 37.24
2020-06-08 00:00:00+00:00, AFL, BUY, 540239, 42.10
2020-07-08 00:00:00+00:00, AFL, SELL, 540239, 35.40
2020-08-14 00:00:00+00:00, AFL, BUY, 502350, 38.07
2020-09-30 00:00:00+00:00, AFL, SELL, 502350, 36.35
2020-10-08 00:00:00+00:00, AFL, BUY, 477521, 38.24
2020-10-14 00:00:00+00:00, AFL, SELL, 477521, 36.98
2020-10-21 00:00:00+00:00, AFL, BUY, 481821, 36.65
2020-11-02 00:00:00+00:00, AFL, SELL, 481821, 35.52
2020-11-11 00:00:00+00:00, AFL, BUY, 418646, 40.88
2020-05-18 00:00:00+00:00, AIG, BUY, 767453, 28.45
2020-07-17 00:00:00+00:00, AIG, SELL, 767453, 32.12
2020-10-22 00:00:00+00:00, AIG, BUY, 770091, 32.01
2020-05-18 00:00:00+00:00, AIV, BUY, 4488317, 4.86
2020-07-15 00:00:00+00:00, AIV, SELL, 4488317, 5.09
2020-12-15 00:00:00+00:00, AIV, BUY, 4532794, 5.04
2020-06-10 00:00:00+00:00, AIZ, BUY, 190790, 114.44
2020-07-14 00:00:00+00:00, AIZ, SELL, 190790, 101.53
2020-08-06 00:00:00+00:00, AIZ, BUY, 162959, 118.87
2020-10-12 00:00:00+00:00, AIZ, SELL, 162959, 126.35
2020-10-15 00:00:00+00:00, AIZ, BUY, 167234, 123.12
2020-03-13 00:00:00+00:00, AJG, BUY, 242439, 90.06
2020-03-17 00:00:00+00:00, AJG, SELL, 242439, 85.46
2020-05-19 00:00:00+00:00, AJG, BUY, 229647, 90.22
2020-09-16 00:00:00+00:00, AJG, SELL, 229647, 103.04
2020-10-13 00:00:00+00:00, AJG, BUY, 217750, 108.67
2020-04-15 00:00:00+00:00, AKAM, BUY, 217492, 100.39
2020-09-04 00:00:00+00:00, AKAM, SELL, 217492, 108.43
2020-09-22 00:00:00+00:00, AKAM, BUY, 209159, 112.75
2020-09-24 00:00:00+00:00, AKAM, SELL, 209159, 110.47
2020-10-13 00:00:00+00:00, AKAM, BUY, 200119, 115.46
2020-10-23 00:00:00+00:00, AKAM, SELL, 200119, 106.75
2020-12-18 00:00:00+00:00, AKAM, BUY, 199502, 107.08
2020-03-13 00:00:00+00:00, ALB, BUY, 321041, 68.01
2020-03-17 00:00:00+00:00, ALB, SELL, 321041, 67.06
2020-05-19 00:00:00+00:00, ALB, BUY, 338987, 63.51
2020-10-13 00:00:00+00:00, ALB, SELL, 338987, 95.14
2020-10-26 00:00:00+00:00, ALB, BUY, 341355, 94.48
2020-05-04 00:00:00+00:00, ALGN, BUY, 103902, 210.14
2020-05-21 00:00:00+00:00, ALK, BUY, 685743, 31.84
2020-07-27 00:00:00+00:00, ALK, SELL, 685743, 34.15
2020-08-24 00:00:00+00:00, ALK, BUY, 624150, 37.52
2020-10-13 00:00:00+00:00, ALK, SELL, 624150, 38.00
2020-11-10 00:00:00+00:00, ALK, BUY, 521039, 45.52
2020-04-30 00:00:00+00:00, ALL, BUY, 214648, 101.72
2020-06-09 00:00:00+00:00, ALL, SELL, 214648, 103.21
2020-08-18 00:00:00+00:00, ALL, BUY, 233986, 94.68
2020-09-18 00:00:00+00:00, ALL, SELL, 233986, 91.28
2020-11-18 00:00:00+00:00, ALL, BUY, 213433, 100.07
2020-05-14 00:00:00+00:00, ALLE, BUY, 233344, 93.57
2020-08-04 00:00:00+00:00, ALLE, SELL, 233344, 99.41
2020-10-20 00:00:00+00:00, ALLE, BUY, 220292, 105.30
