Date, Stock, Action, Quantity, Price
2021-04-06 00:00:00+00:00, A, BUY, 336, 131.04
2021-10-08 00:00:00+00:00, A, SELL, 336, 152.47
2021-11-29 00:00:00+00:00, A, BUY, 334, 153.42
2021-12-13 00:00:00+00:00, A, SELL, 334, 156.29
2021-03-16 00:00:00+00:00, AAL, BUY, 1802, 24.47
2021-04-30 00:00:00+00:00, AAL, SELL, 1802, 21.72
2021-06-01 00:00:00+00:00, AAL, BUY, 1587, 24.67
2021-07-02 00:00:00+00:00, AAL, SELL, 1587, 21.48
2021-10-04 00:00:00+00:00, AAL, BUY, 1593, 21.39
2021-10-29 00:00:00+00:00, AAL, SELL, 1593, 19.20
2021-11-16 00:00:00+00:00, AAL, BUY, 1542, 19.84
2021-11-18 00:00:00+00:00, AAL, SELL, 1542, 19.39
2021-11-22 00:00:00+00:00, AAL, BUY, 1523, 19.63
2021-11-29 00:00:00+00:00, AAL, SELL, 1523, 17.74
2021-03-16 00:00:00+00:00, AAP, BUY, 246, 179.11
2021-06-11 00:00:00+00:00, AAP, SELL, 246, 199.44
2021-06-30 00:00:00+00:00, AAP, BUY, 239, 205.14
2021-08-30 00:00:00+00:00, AAP, SELL, 239, 201.14
2021-10-06 00:00:00+00:00, AAP, BUY, 227, 211.30
2021-04-19 00:00:00+00:00, AAPL, BUY, 327, 134.84
2021-05-26 00:00:00+00:00, AAPL, SELL, 327, 126.85
2021-06-28 00:00:00+00:00, AAPL, BUY, 307, 134.78
2021-10-01 00:00:00+00:00, AAPL, SELL, 307, 142.65
2021-11-04 00:00:00+00:00, AAPL, BUY, 290, 150.96
2021-03-16 00:00:00+00:00, ABBV, BUY, 397, 110.84
2021-03-17 00:00:00+00:00, ABBV, SELL, 397, 105.04
2021-04-01 00:00:00+00:00, ABBV, BUY, 385, 108.52
2021-04-13 00:00:00+00:00, ABBV, SELL, 385, 108.22
2021-04-20 00:00:00+00:00, ABBV, BUY, 382, 109.03
2021-06-29 00:00:00+00:00, ABBV, SELL, 382, 112.30
2021-07-02 00:00:00+00:00, ABBV, BUY, 372, 115.17
2021-09-10 00:00:00+00:00, ABBV, SELL, 372, 106.68
2021-11-03 00:00:00+00:00, ABBV, BUY, 338, 117.57
2021-03-16 00:00:00+00:00, ABT, BUY, 373, 118.22
2021-03-23 00:00:00+00:00, ABT, SELL, 373, 120.49
2021-04-21 00:00:00+00:00, ABT, BUY, 366, 122.60
2021-05-17 00:00:00+00:00, ABT, SELL, 366, 116.74
2021-07-13 00:00:00+00:00, ABT, BUY, 360, 118.65
2021-10-05 00:00:00+00:00, ABT, SELL, 360, 115.88
2021-11-08 00:00:00+00:00, ABT, BUY, 329, 126.80
2021-03-16 00:00:00+00:00, ACN, BUY, 167, 263.52
2021-06-03 00:00:00+00:00, ACN, SELL, 167, 279.63
2021-07-01 00:00:00+00:00, ACN, BUY, 156, 300.00
2021-10-12 00:00:00+00:00, ACN, SELL, 156, 327.69
2021-10-27 00:00:00+00:00, ACN, BUY, 144, 354.05
2021-04-13 00:00:00+00:00, ADBE, BUY, 85, 514.86
2021-05-27 00:00:00+00:00, ADBE, SELL, 85, 498.28
2021-06-14 00:00:00+00:00, ADBE, BUY, 76, 556.95
2021-10-01 00:00:00+00:00, ADBE, SELL, 76, 577.47
2021-11-05 00:00:00+00:00, ADBE, BUY, 66, 662.72
2021-12-20 00:00:00+00:00, ADBE, SELL, 66, 549.77
2021-04-07 00:00:00+00:00, ADI, BUY, 276, 159.45
2021-05-14 00:00:00+00:00, ADI, SELL, 276, 149.61
2021-06-08 00:00:00+00:00, ADI, BUY, 251, 164.91
2021-07-29 00:00:00+00:00, ADI, SELL, 251, 166.54
2021-08-13 00:00:00+00:00, ADI, BUY, 245, 170.08
2021-09-07 00:00:00+00:00, ADI, SELL, 245, 163.27
2021-09-15 00:00:00+00:00, ADI, BUY, 230, 174.08
2021-12-22 00:00:00+00:00, ADI, SELL, 230, 172.29
2021-03-16 00:00:00+00:00, ADM, BUY, 763, 57.78
2021-06-29 00:00:00+00:00, ADM, SELL, 763, 60.60
2021-08-24 00:00:00+00:00, ADM, BUY, 776, 59.61
2021-12-15 00:00:00+00:00, ADM, SELL, 776, 65.08
2021-12-31 00:00:00+00:00, ADM, BUY, 747, 67.59
2021-03-16 00:00:00+00:00, ADP, BUY, 234, 188.28
2021-09-14 00:00:00+00:00, ADP, SELL, 234, 199.74
2021-10-22 00:00:00+00:00, ADP, BUY, 214, 217.75
2021-04-20 00:00:00+00:00, ADSK, BUY, 154, 286.36
2021-05-25 00:00:00+00:00, ADSK, SELL, 154, 289.47
2021-07-06 00:00:00+00:00, ADSK, BUY, 150, 295.60
2021-09-13 00:00:00+00:00, ADSK, SELL, 150, 281.28
2021-11-02 00:00:00+00:00, ADSK, BUY, 134, 314.92
2021-12-07 00:00:00+00:00, ADSK, SELL, 134, 276.70
2021-03-18 00:00:00+00:00, AEE, BUY, 561, 78.54
2021-06-25 00:00:00+00:00, AEE, SELL, 561, 81.74
2021-08-03 00:00:00+00:00, AEE, BUY, 536, 85.61
2021-09-24 00:00:00+00:00, AEE, SELL, 536, 83.57
2021-11-10 00:00:00+00:00, AEE, BUY, 530, 84.42
2021-03-24 00:00:00+00:00, AEP, BUY, 519, 84.99
2021-06-01 00:00:00+00:00, AEP, SELL, 519, 85.10
2021-07-22 00:00:00+00:00, AEP, BUY, 520, 84.88
2021-09-22 00:00:00+00:00, AEP, SELL, 520, 82.72
2021-11-16 00:00:00+00:00, AEP, BUY, 521, 82.56
2021-12-01 00:00:00+00:00, AEP, SELL, 521, 80.28
2021-12-20 00:00:00+00:00, AEP, BUY, 479, 87.23
2021-03-16 00:00:00+00:00, AES, BUY, 1581, 27.89
2021-03-24 00:00:00+00:00, AES, SELL, 1581, 25.65
2021-04-01 00:00:00+00:00, AES, BUY, 1498, 27.07
2021-04-09 00:00:00+00:00, AES, SELL, 1498, 27.72
2021-04-21 00:00:00+00:00, AES, BUY, 1463, 28.39
2021-05-14 00:00:00+00:00, AES, SELL, 1463, 25.37
2021-07-06 00:00:00+00:00, AES, BUY, 1427, 26.00
2021-07-22 00:00:00+00:00, AES, SELL, 1427, 24.02
2021-10-26 00:00:00+00:00, AES, BUY, 1351, 25.37
2021-12-06 00:00:00+00:00, AES, SELL, 1351, 24.36
2021-12-07 00:00:00+00:00, AES, BUY, 1326, 24.82
2021-12-10 00:00:00+00:00, AES, SELL, 1326, 24.42
2021-03-16 00:00:00+00:00, AFL, BUY, 863, 51.10
2021-06-29 00:00:00+00:00, AFL, SELL, 863, 53.55
2021-08-11 00:00:00+00:00, AFL, BUY, 811, 56.95
2021-09-22 00:00:00+00:00, AFL, SELL, 811, 51.88
2021-10-28 00:00:00+00:00, AFL, BUY, 760, 55.36
2021-03-16 00:00:00+00:00, AIG, BUY, 931, 47.33
2021-06-30 00:00:00+00:00, AIG, SELL, 931, 47.60
2021-08-13 00:00:00+00:00, AIG, BUY, 812, 54.61
2021-12-01 00:00:00+00:00, AIG, SELL, 812, 51.72
2021-03-16 00:00:00+00:00, AIV, BUY, 7711, 5.72
2021-07-19 00:00:00+00:00, AIV, SELL, 7711, 6.54
2021-09-08 00:00:00+00:00, AIV, BUY, 6985, 7.22
2021-12-21 00:00:00+00:00, AIV, SELL, 6985, 7.65
2021-03-23 00:00:00+00:00, AIZ, BUY, 313, 140.62
2021-07-01 00:00:00+00:00, AIZ, SELL, 313, 156.85
2021-08-13 00:00:00+00:00, AIZ, BUY, 298, 165.00
2021-10-04 00:00:00+00:00, AIZ, SELL, 298, 157.30
2021-11-15 00:00:00+00:00, AIZ, BUY, 292, 160.11
2021-11-19 00:00:00+00:00, AIZ, SELL, 292, 159.48
2021-11-23 00:00:00+00:00, AIZ, BUY, 283, 164.70
2021-11-26 00:00:00+00:00, AIZ, SELL, 283, 157.31
2021-03-16 00:00:00+00:00, AJG, BUY, 344, 127.90
2021-06-25 00:00:00+00:00, AJG, SELL, 344, 141.90
2021-08-24 00:00:00+00:00, AJG, BUY, 341, 143.40
2021-04-13 00:00:00+00:00, AKAM, BUY, 421, 104.54
2021-08-18 00:00:00+00:00, AKAM, SELL, 421, 112.22
2021-11-12 00:00:00+00:00, AKAM, BUY, 424, 111.51
2021-04-27 00:00:00+00:00, ALB, BUY, 259, 169.75
2021-10-06 00:00:00+00:00, ALB, SELL, 259, 222.37
2021-11-01 00:00:00+00:00, ALB, BUY, 225, 255.87
2021-12-21 00:00:00+00:00, ALB, SELL, 225, 224.15
2021-04-20 00:00:00+00:00, ALGN, BUY, 73, 596.20
2021-06-04 00:00:00+00:00, ALGN, SELL, 73, 582.35
2021-06-15 00:00:00+00:00, ALGN, BUY, 71, 600.05
2021-10-06 00:00:00+00:00, ALGN, SELL, 71, 650.65
2021-11-19 00:00:00+00:00, ALGN, BUY, 68, 683.29
2021-12-16 00:00:00+00:00, ALGN, SELL, 68, 595.06
2021-03-16 00:00:00+00:00, ALK, BUY, 624, 70.60
2021-05-10 00:00:00+00:00, ALK, SELL, 624, 67.09
2021-09-22 00:00:00+00:00, ALK, BUY, 729, 57.45
2021-10-29 00:00:00+00:00, ALK, SELL, 729, 52.80
2021-03-16 00:00:00+00:00, ALL, BUY, 380, 115.84
2021-06-29 00:00:00+00:00, ALL, SELL, 380, 129.57
2021-08-16 00:00:00+00:00, ALL, BUY, 361, 136.54
2021-09-27 00:00:00+00:00, ALL, SELL, 361, 130.40
2021-03-19 00:00:00+00:00, ALLE, BUY, 367, 119.92
2021-07-12 00:00:00+00:00, ALLE, SELL, 367, 138.12
2021-07-21 00:00:00+00:00, ALLE, BUY, 361, 140.47
2021-07-23 00:00:00+00:00, ALLE, SELL, 361, 139.18
2021-08-26 00:00:00+00:00, ALLE, BUY, 359, 140.04
2021-10-04 00:00:00+00:00, ALLE, SELL, 359, 130.26
2021-12-06 00:00:00+00:00, ALLE, BUY, 355, 131.60
2021-12-13 00:00:00+00:00, ALLE, SELL, 355, 130.46
2021-03-16 00:00:00+00:00, AMAT, BUY, 372, 118.50
2021-05-21 00:00:00+00:00, AMAT, SELL, 372, 128.66
2021-06-11 00:00:00+00:00, AMAT, BUY, 350, 136.82
2021-07-28 00:00:00+00:00, AMAT, SELL, 350, 137.21
2021-08-06 00:00:00+00:00, AMAT, BUY, 336, 142.65
2021-08-20 00:00:00+00:00, AMAT, SELL, 336, 127.20
2021-09-17 00:00:00+00:00, AMAT, BUY, 304, 140.80
2021-10-08 00:00:00+00:00, AMAT, SELL, 304, 126.22
2021-11-05 00:00:00+00:00, AMAT, BUY, 250, 153.29
2021-03-16 00:00:00+00:00, AMCR, BUY, 3835, 11.50
2021-06-16 00:00:00+00:00, AMCR, SELL, 3835, 11.82
2021-08-16 00:00:00+00:00, AMCR, BUY, 3710, 12.22
2021-09-30 00:00:00+00:00, AMCR, SELL, 3710, 11.59
2021-11-09 00:00:00+00:00, AMCR, BUY, 3493, 12.31
2021-12-06 00:00:00+00:00, AMCR, SELL, 3493, 11.57
2021-04-28 00:00:00+00:00, AMD, BUY, 525, 84.02
2021-05-14 00:00:00+00:00, AMD, SELL, 525, 74.59
2021-06-16 00:00:00+00:00, AMD, BUY, 488, 80.11
2021-09-30 00:00:00+00:00, AMD, SELL, 488, 102.90
2021-10-21 00:00:00+00:00, AMD, BUY, 421, 119.33
2021-03-16 00:00:00+00:00, AME, BUY, 365, 120.84
2021-07-02 00:00:00+00:00, AME, SELL, 365, 134.94
2021-07-21 00:00:00+00:00, AME, BUY, 359, 137.02
2021-09-08 00:00:00+00:00, AME, SELL, 359, 132.88
2021-11-04 00:00:00+00:00, AME, BUY, 340, 140.40
2021-03-31 00:00:00+00:00, AMGN, BUY, 177, 248.81
2021-05-24 00:00:00+00:00, AMGN, SELL, 177, 247.75
2021-07-19 00:00:00+00:00, AMGN, BUY, 178, 246.73
2021-08-10 00:00:00+00:00, AMGN, SELL, 178, 227.96
2021-12-20 00:00:00+00:00, AMGN, BUY, 184, 219.99
2021-03-16 00:00:00+00:00, AMP, BUY, 199, 221.12
2021-06-25 00:00:00+00:00, AMP, SELL, 199, 248.64
2021-08-09 00:00:00+00:00, AMP, BUY, 186, 265.61
2021-12-16 00:00:00+00:00, AMP, SELL, 186, 300.23
2021-04-05 00:00:00+00:00, AMT, BUY, 180, 244.75
2021-10-05 00:00:00+00:00, AMT, SELL, 180, 264.55
2021-12-27 00:00:00+00:00, AMT, BUY, 166, 285.76
2021-04-14 00:00:00+00:00, AMZN, BUY, 264, 166.65
2021-05-28 00:00:00+00:00, AMZN, SELL, 264, 161.15
2021-06-22 00:00:00+00:00, AMZN, BUY, 243, 175.27
2021-08-13 00:00:00+00:00, AMZN, SELL, 243, 164.70
2021-09-22 00:00:00+00:00, AMZN, BUY, 237, 169.00
2021-10-11 00:00:00+00:00, AMZN, SELL, 237, 162.32
2021-11-09 00:00:00+00:00, AMZN, BUY, 215, 178.81
2021-12-22 00:00:00+00:00, AMZN, SELL, 215, 171.04
2021-04-12 00:00:00+00:00, ANET, BUY, 2247, 19.63
2021-09-01 00:00:00+00:00, ANET, SELL, 2247, 22.47
2021-10-19 00:00:00+00:00, ANET, BUY, 2074, 24.35
2021-04-19 00:00:00+00:00, ANSS, BUY, 121, 364.47
2021-05-19 00:00:00+00:00, ANSS, SELL, 121, 326.49
2021-07-06 00:00:00+00:00, ANSS, BUY, 111, 355.64
2021-09-29 00:00:00+00:00, ANSS, SELL, 111, 340.96
2021-11-02 00:00:00+00:00, ANSS, BUY, 98, 384.17
2021-03-16 00:00:00+00:00, AON, BUY, 194, 226.75
2021-06-23 00:00:00+00:00, AON, SELL, 194, 235.54
2021-08-05 00:00:00+00:00, AON, BUY, 174, 262.40
2021-11-26 00:00:00+00:00, AON, SELL, 174, 294.11
2021-03-16 00:00:00+00:00, AOS, BUY, 672, 65.63
2021-06-21 00:00:00+00:00, AOS, SELL, 672, 67.64
2021-07-15 00:00:00+00:00, AOS, BUY, 642, 70.77
2021-09-20 00:00:00+00:00, AOS, SELL, 642, 64.48
2021-11-03 00:00:00+00:00, AOS, BUY, 528, 78.39
2021-03-16 00:00:00+00:00, APA, BUY, 2125, 20.75
2021-04-12 00:00:00+00:00, APA, SELL, 2125, 17.25
2021-05-12 00:00:00+00:00, APA, BUY, 1735, 21.13
2021-07-12 00:00:00+00:00, APA, SELL, 1735, 20.41
2021-09-16 00:00:00+00:00, APA, BUY, 1728, 20.49
2021-12-14 00:00:00+00:00, APA, SELL, 1728, 24.95
2021-03-25 00:00:00+00:00, APD, BUY, 159, 277.27
2021-07-01 00:00:00+00:00, APD, SELL, 159, 288.80
2021-10-20 00:00:00+00:00, APD, BUY, 156, 293.70
2021-12-16 00:00:00+00:00, APD, SELL, 156, 303.15
2021-04-05 00:00:00+00:00, APH, BUY, 1281, 34.41
2021-05-24 00:00:00+00:00, APH, SELL, 1281, 33.53
2021-06-15 00:00:00+00:00, APH, BUY, 1256, 34.22
2021-10-14 00:00:00+00:00, APH, SELL, 1256, 38.22
2021-10-18 00:00:00+00:00, APH, BUY, 1239, 38.74
2021-03-16 00:00:00+00:00, APTV, BUY, 299, 147.35
2021-03-30 00:00:00+00:00, APTV, SELL, 299, 137.29
2021-06-01 00:00:00+00:00, APTV, BUY, 265, 154.91
2021-09-03 00:00:00+00:00, APTV, SELL, 265, 149.93
2021-10-15 00:00:00+00:00, APTV, BUY, 235, 168.74
2021-12-13 00:00:00+00:00, APTV, SELL, 235, 162.96
2021-04-06 00:00:00+00:00, ARE, BUY, 257, 171.00
2021-09-24 00:00:00+00:00, ARE, SELL, 257, 195.39
2021-10-29 00:00:00+00:00, ARE, BUY, 246, 204.14
2021-03-16 00:00:00+00:00, ATO, BUY, 470, 93.80
2021-06-02 00:00:00+00:00, ATO, SELL, 470, 100.47
2021-08-03 00:00:00+00:00, ATO, BUY, 473, 99.68
2021-09-07 00:00:00+00:00, ATO, SELL, 473, 96.13
2021-11-03 00:00:00+00:00, ATO, BUY, 488, 93.36
2021-03-16 00:00:00+00:00, AVB, BUY, 231, 190.30
2021-09-21 00:00:00+00:00, AVB, SELL, 231, 220.71
2021-09-22 00:00:00+00:00, AVB, BUY, 228, 223.48
2021-09-28 00:00:00+00:00, AVB, SELL, 228, 222.15
2021-10-18 00:00:00+00:00, AVB, BUY, 221, 230.00
2021-03-16 00:00:00+00:00, AVGO, BUY, 922, 47.82
2021-03-19 00:00:00+00:00, AVGO, SELL, 922, 47.45
2021-04-07 00:00:00+00:00, AVGO, BUY, 907, 48.25
2021-05-06 00:00:00+00:00, AVGO, SELL, 907, 44.86
2021-06-15 00:00:00+00:00, AVGO, BUY, 864, 47.07
2021-03-16 00:00:00+00:00, AVY, BUY, 244, 180.53
2021-06-29 00:00:00+00:00, AVY, SELL, 244, 209.71
2021-08-16 00:00:00+00:00, AVY, BUY, 233, 219.70
2021-10-04 00:00:00+00:00, AVY, SELL, 233, 207.94
2021-11-10 00:00:00+00:00, AVY, BUY, 217, 222.59
2021-12-14 00:00:00+00:00, AVY, SELL, 217, 208.32
2021-04-16 00:00:00+00:00, AWK, BUY, 275, 160.12
2021-06-02 00:00:00+00:00, AWK, SELL, 275, 155.43
2021-06-14 00:00:00+00:00, AWK, BUY, 266, 160.48
2021-10-04 00:00:00+00:00, AWK, SELL, 266, 170.91
2021-12-07 00:00:00+00:00, AWK, BUY, 258, 176.52
2021-03-16 00:00:00+00:00, AXP, BUY, 307, 143.30
2021-08-23 00:00:00+00:00, AXP, SELL, 307, 160.45
2021-10-05 00:00:00+00:00, AXP, BUY, 282, 174.76
2021-11-30 00:00:00+00:00, AXP, SELL, 282, 152.30
2021-03-16 00:00:00+00:00, AZO, BUY, 33, 1299.00
2021-06-07 00:00:00+00:00, AZO, SELL, 33, 1384.65
2021-07-08 00:00:00+00:00, AZO, BUY, 30, 1537.48
2021-09-08 00:00:00+00:00, AZO, SELL, 30, 1556.35
2021-10-01 00:00:00+00:00, AZO, BUY, 28, 1672.28
2021-03-16 00:00:00+00:00, BA, BUY, 172, 255.21
2021-05-05 00:00:00+00:00, BA, SELL, 172, 228.18
2021-06-11 00:00:00+00:00, BA, BUY, 159, 247.28
2021-07-14 00:00:00+00:00, BA, SELL, 159, 224.45
2021-10-15 00:00:00+00:00, BA, BUY, 165, 217.04
2021-11-01 00:00:00+00:00, BA, SELL, 165, 214.58
2021-03-16 00:00:00+00:00, BAC, BUY, 1171, 37.64
2021-06-30 00:00:00+00:00, BAC, SELL, 1171, 41.23
2021-08-23 00:00:00+00:00, BAC, BUY, 1181, 40.91
2021-12-08 00:00:00+00:00, BAC, SELL, 1181, 44.16
2021-03-24 00:00:00+00:00, BAX, BUY, 537, 82.08
2021-05-26 00:00:00+00:00, BAX, SELL, 537, 82.42
2021-09-16 00:00:00+00:00, BAX, BUY, 532, 83.22
2021-11-03 00:00:00+00:00, BAX, SELL, 532, 80.04
2021-12-21 00:00:00+00:00, BAX, BUY, 507, 83.87
2021-04-01 00:00:00+00:00, BBY, BUY, 381, 115.76
2021-05-25 00:00:00+00:00, BBY, SELL, 381, 114.42
2021-08-11 00:00:00+00:00, BBY, BUY, 369, 118.06
2021-09-22 00:00:00+00:00, BBY, SELL, 369, 106.80
2021-10-28 00:00:00+00:00, BBY, BUY, 325, 121.12
2021-12-10 00:00:00+00:00, BBY, SELL, 325, 103.82
2021-04-19 00:00:00+00:00, BDX, BUY, 174, 252.64
2021-05-24 00:00:00+00:00, BDX, SELL, 174, 237.78
2021-07-08 00:00:00+00:00, BDX, BUY, 169, 244.88
2021-08-30 00:00:00+00:00, BDX, SELL, 169, 244.36
2021-09-07 00:00:00+00:00, BDX, BUY, 164, 251.54
2021-10-12 00:00:00+00:00, BDX, SELL, 164, 232.58
2021-12-01 00:00:00+00:00, BDX, BUY, 162, 235.78
2021-03-16 00:00:00+00:00, BEN, BUY, 1482, 29.76
2021-07-06 00:00:00+00:00, BEN, SELL, 1482, 31.60
2021-08-24 00:00:00+00:00, BEN, BUY, 1460, 32.07
2021-09-30 00:00:00+00:00, BEN, SELL, 1460, 29.72
2021-11-04 00:00:00+00:00, BEN, BUY, 1196, 36.27
2021-12-22 00:00:00+00:00, BEN, SELL, 1196, 32.87
2021-03-16 00:00:00+00:00, BIIB, BUY, 169, 259.92
