Date, Stock, Action, Quantity, Price
2020-02-03 00:00:00+00:00, A, BUY, 26, 82.15
2020-05-11 00:00:00+00:00, A, SELL, 26, 81.27
2020-02-25 00:00:00+00:00, AAL, BUY, 94, 23.12
2020-05-27 00:00:00+00:00, AAL, SELL, 94, 11.98
2020-06-26 00:00:00+00:00, AAL, BUY, 91, 12.38
2020-08-10 00:00:00+00:00, AAL, SELL, 91, 14.00
2020-10-27 00:00:00+00:00, AAL, BUY, 114, 11.23
2020-11-24 00:00:00+00:00, AAL, SELL, 114, 14.82
2020-12-31 00:00:00+00:00, AAL, BUY, 107, 15.77
2020-01-22 00:00:00+00:00, AAP, BUY, 14, 147.65
2020-04-09 00:00:00+00:00, AAP, SELL, 14, 106.86
2020-07-09 00:00:00+00:00, AAP, BUY, 12, 133.75
2020-07-27 00:00:00+00:00, AAP, SELL, 12, 146.83
2020-09-08 00:00:00+00:00, AAP, BUY, 11, 151.73
2020-10-13 00:00:00+00:00, AAP, SELL, 11, 157.38
2020-10-28 00:00:00+00:00, AAP, BUY, 12, 146.38
2020-12-11 00:00:00+00:00, AAP, SELL, 12, 157.66
2020-02-25 00:00:00+00:00, AAPL, BUY, 30, 72.02
2020-04-13 00:00:00+00:00, AAPL, SELL, 30, 68.31
2020-09-22 00:00:00+00:00, AAPL, BUY, 18, 111.81
2020-11-19 00:00:00+00:00, AAPL, SELL, 18, 118.64
2020-01-23 00:00:00+00:00, ABBV, BUY, 25, 85.27
2020-02-12 00:00:00+00:00, ABBV, SELL, 25, 97.79
2020-03-12 00:00:00+00:00, ABBV, BUY, 31, 78.61
2020-04-13 00:00:00+00:00, ABBV, SELL, 31, 80.30
2020-08-04 00:00:00+00:00, ABBV, BUY, 27, 94.29
2020-11-09 00:00:00+00:00, ABBV, SELL, 27, 95.12
2020-02-25 00:00:00+00:00, ABT, BUY, 26, 81.13
2020-04-09 00:00:00+00:00, ABT, SELL, 26, 86.04
2020-12-07 00:00:00+00:00, ABT, BUY, 21, 107.18
2020-02-25 00:00:00+00:00, ACN, BUY, 11, 197.10
2020-05-11 00:00:00+00:00, ACN, SELL, 11, 187.75
2020-09-24 00:00:00+00:00, ACN, BUY, 9, 214.42
2020-10-14 00:00:00+00:00, ACN, SELL, 9, 229.43
2020-02-27 00:00:00+00:00, ADBE, BUY, 6, 337.52
2020-04-24 00:00:00+00:00, ADBE, SELL, 6, 344.10
2020-10-29 00:00:00+00:00, ADBE, BUY, 4, 461.11
2020-12-07 00:00:00+00:00, ADBE, SELL, 4, 492.25
2020-01-31 00:00:00+00:00, ADI, BUY, 19, 109.75
2020-02-20 00:00:00+00:00, ADI, SELL, 19, 124.55
2020-03-09 00:00:00+00:00, ADI, BUY, 25, 97.51
2020-04-22 00:00:00+00:00, ADI, SELL, 25, 102.12
