Date, Stock, Action, Quantity, Price
2020-04-27 00:00:00+00:00, A, BUY, 286, 76.25
2020-06-08 00:00:00+00:00, AAL, BUY, 1075, 20.31
2020-07-20 00:00:00+00:00, AAL, SELL, 1075, 11.47
2020-08-27 00:00:00+00:00, AAL, BUY, 928, 13.28
2020-10-06 00:00:00+00:00, AAL, SELL, 928, 12.53
2020-11-27 00:00:00+00:00, AAL, BUY, 776, 14.98
2020-05-01 00:00:00+00:00, AAP, BUY, 187, 116.59
2020-09-29 00:00:00+00:00, AAP, SELL, 187, 151.71
2020-10-23 00:00:00+00:00, AAP, BUY, 183, 154.72
2020-10-30 00:00:00+00:00, AAP, SELL, 183, 147.28
2020-12-18 00:00:00+00:00, AAP, BUY, 169, 159.99
2020-04-30 00:00:00+00:00, AAPL, BUY, 297, 73.45
2020-10-02 00:00:00+00:00, AAPL, SELL, 297, 113.02
2020-11-05 00:00:00+00:00, AAPL, BUY, 282, 119.03
2020-03-13 00:00:00+00:00, ABBV, BUY, 255, 85.37
2020-03-16 00:00:00+00:00, ABBV, SELL, 255, 74.27
2020-05-01 00:00:00+00:00, ABBV, BUY, 229, 82.84
2020-08-12 00:00:00+00:00, ABBV, SELL, 229, 95.51
2020-11-13 00:00:00+00:00, ABBV, BUY, 221, 99.04
2020-04-21 00:00:00+00:00, ABT, BUY, 232, 94.05
2020-06-12 00:00:00+00:00, ABT, SELL, 232, 89.02
2020-07-15 00:00:00+00:00, ABT, BUY, 213, 96.73
2020-12-11 00:00:00+00:00, ABT, SELL, 213, 107.02
2020-05-01 00:00:00+00:00, ACN, BUY, 121, 180.09
2020-10-01 00:00:00+00:00, ACN, SELL, 121, 225.18
2020-11-16 00:00:00+00:00, ACN, BUY, 111, 244.95
2020-04-30 00:00:00+00:00, ADBE, BUY, 61, 353.64
2020-10-30 00:00:00+00:00, ADBE, SELL, 61, 447.10
2020-12-18 00:00:00+00:00, ADBE, BUY, 54, 502.95
2020-04-30 00:00:00+00:00, ADI, BUY, 199, 109.60
2020-07-29 00:00:00+00:00, ADI, SELL, 199, 117.53
2020-09-03 00:00:00+00:00, ADI, BUY, 199, 117.12
2020-09-10 00:00:00+00:00, ADI, SELL, 199, 114.27
2020-09-16 00:00:00+00:00, ADI, BUY, 197, 115.56
2020-09-23 00:00:00+00:00, ADI, SELL, 197, 112.50
2020-10-14 00:00:00+00:00, ADI, BUY, 180, 123.04
